Id;Name;BuildId;Duration;CalcPrio;LastRun;Verdict;Cycle;LastResults
49;168;1;0.03;0;2020-05-28 08:39:51.255;0;1;[]
50;78;1;0.01;0;2020-05-28 08:39:51.255;0;1;[]
51;89;1;0.98;0;2020-05-28 08:39:51.255;0;1;[]
52;56;1;1.14;0;2020-05-28 08:39:51.255;0;1;[]
53;54;1;1.24;0;2020-05-28 08:39:51.255;0;1;[]
54;69;1;1.32;0;2020-05-28 08:39:51.255;0;1;[]
55;57;1;1.16;0;2020-05-28 08:39:51.255;0;1;[]
56;11;1;1.34;0;2020-05-28 08:39:51.255;0;1;[]
57;178;1;0.83;0;2020-05-28 08:39:51.255;0;1;[]
58;112;1;0.72;0;2020-05-28 08:39:51.255;0;1;[]
59;113;1;0.66;0;2020-05-28 08:39:51.255;0;1;[]
60;76;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
61;24;1;0.01;0;2020-05-28 08:39:51.255;0;1;[]
62;27;1;0.01;0;2020-05-28 08:39:51.255;0;1;[]
63;29;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
64;73;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
65;74;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
66;30;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
67;173;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
68;31;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
69;32;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
70;33;1;0.01;0;2020-05-28 08:39:51.255;0;1;[]
71;26;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
72;19;1;0.98;0;2020-05-28 08:39:51.255;0;1;[]
73;147;1;1.3;0;2020-05-28 08:39:51.255;0;1;[]
74;4;1;0.04;0;2020-05-28 08:39:51.255;0;1;[]
75;75;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
76;99;1;0.01;0;2020-05-28 08:39:51.255;0;1;[]
77;1;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
78;15;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
79;16;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
80;18;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
81;37;1;0.03;0;2020-05-28 08:39:51.255;0;1;[]
82;93;1;0.03;0;2020-05-28 08:39:51.255;0;1;[]
83;142;1;0.03;0;2020-05-28 08:39:51.255;0;1;[]
84;91;1;0.84;0;2020-05-28 08:39:51.255;0;1;[]
85;171;1;0.05;0;2020-05-28 08:39:51.255;0;1;[]
86;170;1;0.05;0;2020-05-28 08:39:51.255;0;1;[]
87;135;1;1.21;0;2020-05-28 08:39:51.255;0;1;[]
88;143;1;0.76;0;2020-05-28 08:39:51.255;0;1;[]
89;17;1;0.99;0;2020-05-28 08:39:51.255;0;1;[]
90;177;1;0.97;0;2020-05-28 08:39:51.255;0;1;[]
91;66;1;0.05;0;2020-05-28 08:39:51.255;0;1;[]
92;12;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
93;13;1;0.03;0;2020-05-28 08:39:51.255;0;1;[]
94;68;1;0.74;0;2020-05-28 08:39:51.255;0;1;[]
95;5;1;0.04;0;2020-05-28 08:39:51.255;0;1;[]
96;6;1;0.04;0;2020-05-28 08:39:51.255;0;1;[]
97;70;1;1.08;0;2020-05-28 08:39:51.255;0;1;[]
98;44;1;1.3;0;2020-05-28 08:39:51.255;0;1;[]
99;43;1;1.28;0;2020-05-28 08:39:51.255;0;1;[]
100;40;1;0.71;0;2020-05-28 08:39:51.255;0;1;[]
101;9;1;0.01;0;2020-05-28 08:39:51.255;0;1;[]
102;182;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
103;82;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
104;8;1;0.01;0;2020-05-28 08:39:51.255;0;1;[]
105;100;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
106;85;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
107;72;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
108;94;1;0.01;0;2020-05-28 08:39:51.255;0;1;[]
109;144;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
110;172;1;0.01;0;2020-05-28 08:39:51.255;1;1;[]
111;124;1;0.75;0;2020-05-28 08:39:51.255;0;1;[]
112;14;1;0.02;0;2020-05-28 08:39:51.255;0;1;[]
113;166;1;0.05;0;2020-05-28 08:39:51.255;0;1;[]
114;26;2;0.02;0;2020-05-28 21:29:08.760;0;2;[]
115;25;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
116;24;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
117;23;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
118;22;2;0.02;0;2020-05-28 21:29:08.760;0;2;[]
119;21;2;0.02;0;2020-05-28 21:29:08.760;0;2;[]
120;82;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
121;14;2;0.02;0;2020-05-28 21:29:08.760;0;2;[]
122;100;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
123;27;2;0.02;0;2020-05-28 21:29:08.760;0;2;[]
124;85;2;0.0;0;2020-05-28 21:29:08.760;0;2;[]
125;20;2;0.03;0;2020-05-28 21:29:08.760;0;2;[]
126;135;2;0.54;0;2020-05-28 21:29:08.760;0;2;[]
127;28;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
128;29;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
129;73;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
130;37;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
131;142;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
132;64;2;3.71;0;2020-05-28 21:29:08.760;0;2;[]
133;60;2;4.31;0;2020-05-28 21:29:08.760;0;2;[]
134;62;2;3.34;0;2020-05-28 21:29:08.760;0;2;[]
135;65;2;3.86;0;2020-05-28 21:29:08.760;0;2;[]
136;107;2;0.62;0;2020-05-28 21:29:08.760;0;2;[]
137;143;2;0.98;0;2020-05-28 21:29:08.760;0;2;[]
138;66;2;0.02;0;2020-05-28 21:29:08.760;0;2;[]
139;54;2;1.91;0;2020-05-28 21:29:08.760;0;2;[]
140;84;2;0.74;0;2020-05-28 21:29:08.760;0;2;[]
141;40;2;0.78;0;2020-05-28 21:29:08.760;0;2;[]
142;166;2;0.02;0;2020-05-28 21:29:08.760;0;2;[]
143;171;2;0.03;0;2020-05-28 21:29:08.760;0;2;[]
144;170;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
145;124;2;0.72;0;2020-05-28 21:29:08.760;0;2;[]
146;69;2;1.74;0;2020-05-28 21:29:08.760;0;2;[]
